label,short,group,G_VRH_GPa,B_VRH_GPa,Pugh_G_over_B,C11,C12,C44
R1_HfNbTaTiZr,R1,rhea,30.92,113.32,0.2728,135.14,98.81,48.56
R2_MoNbTaTiV,R2,rhea,43.75,169.09,0.2588,248.11,129.07,36.39
R3_ISRU_blend,R3,rhea,60.23,147.31,0.4089,200.45,117.97,76.54
BCC x=0% ISRU,x=0,dilution,42.71,170.60,0.2503,248.08,130.85,34.79
BCC x=10% ISRU,x=10,dilution,47.79,172.03,0.2778,252.54,130.56,41.89
BCC x=25% ISRU,x=25,dilution,48.96,173.52,0.2822,249.59,135.28,44.36
BCC x=50% ISRU,x=50,dilution,50.54,169.75,0.2977,249.45,131.18,47.96
BCC x=75% ISRU,x=75,dilution,54.03,161.36,0.3348,230.98,126.21,57.22
BCC x=90% ISRU,x=90,dilution,56.40,162.02,0.3481,231.36,125.40,60.04
BCC x=100% ISRU,x=100,dilution,55.83,154.40,0.3616,220.00,121.45,61.61
FE2Nb,Fe$_2$Nb,laves,75.44,172.19,0.4381,278.58,118.90,64.59
FE2Ta,Fe$_2$Ta,laves,85.93,173.25,0.4960,294.03,113.12,73.48
